Hour,V90 3MW,EWT 500kW,E82 2.3MW,E138 4.26MW,EWT 1MW,E115 4.2MW
0,1022.742384,170.457064,784.1024944,1452.294185,340.914128,1431.839338
1,1033.757863,172.2929772,792.547695,1467.936165,344.5859543,1447.261008
2,1031.353288,171.8922147,790.7041875,1464.521669,343.7844293,1443.894603
3,1046.004247,174.3340412,801.9365894,1485.326031,348.6680823,1464.405946
4,1043.791562,173.9652603,800.2401975,1482.184018,347.9305207,1461.308187
5,1031.096,171.8493333,790.5069333,1464.15632,343.6986667,1443.5344
6,1028.068603,171.3447672,788.185929,1459.857416,342.6895343,1439.296044
7,1030.901151,171.8168585,790.3575491,1463.879634,343.633717,1443.261611
8,1011.62874,168.60479,775.582034,1436.512811,337.20958,1416.280236
9,976.9499452,162.8249909,748.994958,1387.268922,325.6499817,1367.729923
10,985.9115342,164.318589,755.8655096,1399.994379,328.6371781,1380.276148
11,973.6334521,162.272242,746.4523133,1382.559502,324.544484,1363.086833
12,975.104274,162.517379,747.5799434,1384.648069,325.034758,1365.145984
13,962.8912877,160.4818813,738.2166539,1367.305629,320.9637626,1348.047803
14,961.9958356,160.3326393,737.5301406,1366.034087,320.6652785,1346.79417
15,963.9593973,160.6598996,739.0355379,1368.822344,321.3197991,1349.543156
16,946.1557808,157.6926301,725.3860986,1343.541209,315.3852603,1324.618093
17,954.2829863,159.0471644,731.6169562,1355.081841,318.0943288,1335.996181
18,918.2227123,153.0371187,703.9707461,1303.876251,306.0742374,1285.511797
19,935.9376438,155.9896073,717.5521936,1329.031454,311.9792146,1310.312701
20,939.8587671,156.6431279,720.5583881,1334.599449,313.2862557,1315.802274
21,965.5370685,160.9228448,740.2450859,1371.062637,321.8456895,1351.751896
22,975.8890137,162.648169,748.1815772,1385.762399,325.2963379,1366.244619
23,1007.926795,167.9877992,772.7438762,1431.256049,335.9755983,1411.097513
